gcr_number,GCR_NAME,admin_area,BLOCK_NAME,NAME,GCR_STATUS,GRID_REF,LATITUDE,LONGITUDE,EASTING,NORTHING,GCR_DATE,REVIEW_DATE,AGENCY,GCR_STATEMENT,SYSTEM,ESCC,SSSI_NAME
62,Holwell Quarries,Somerset,"Hettangian, Sinemurian and Pliensbachian",The Mendip and South Wales massifs,Notified,ST726450,51.2,-2.39,372600,145000,01-Oct-79,26-Aug-86,NE,"An internationally important geological locality. A comprehensive assemblage of Triassic (including Rhaetic), Rhaeto-Liassic, Lower Jurassic and Middle Jurassic fissure fillings are well- displayed at Holwell. The Rhaetic fissure fillings have yielded the richest assemblage of vertebrate faunas in the British Triassic. The site is famous as the site where Moore, and later Keuhne, collected specimens of Rhaetic mammals; occurrences of the highest scientific interest. Other mammals as well as abundant fish remains from the site have yet to be described. The Lower Jurassic fissure fillings here yield ammonites and brachiopods which are of central importance in dating these remarkable deposits. Subsidiary interest is supplied by the three dimensional wadi-fill of Triassic age and the regionally important sub-Inferior Oolite unconformity both of which are so excellently exhibited in the Holwell complex.",Jurassic,Exposures in Active Quarries and Pits,HOLWELL QUARRIES
63,Leighton Road Cutting,Somerset,"Hettangian, Sinemurian and Pliensbachian",The Mendip and South Wales massifs,Notified,ST702437,51.19,-2.43,370200,143700,01-Oct-79,28-Mar-83,NE,"A key site for an understanding of Lower Jurassic rocks in the Mendip area. The newly created cutting at Leighton exposes the only presently exposed section of rocks of Liassic age which otherwise only occur as fissure fillings in this area. The site is thus of paramount importance for the chronological dating of the various lithologies which form the interest of the classic fissure sites of east Mendip, an exercise which until the creation of this cutting, could not be done in a conventional bedded succession.",Jurassic,Exposures in Active Quarries and Pits,LEIGHTON ROAD CUTTING
64,Cloford Quarry,Somerset,"Hettangian, Sinemurian and Pliensbachian",The Mendip and South Wales massifs,Notified,ST718444,51.2,-2.4,371800,144400,01-Oct-79,28-Mar-83,NE,"A nationally important site, showing the most comprehensive assemblage of Mesozoic fissure fills seen anywhere in Britain. These are of Triassic, Rhaeoto-Liassic and Liassic age. Above a planed and superbly bivalve-bored surface of Carboniferous Limestone, which contains the fissures, lies normally bedded Inferior Oolite. The unique stratigraphic sequences of this area enable the building up of a picture of the history and palaeogeography of the Mendips during the Triassic and Jurassic Periods.",Jurassic,Exposures in Active Quarries and Pits,CLOFORD QUARRY
65,Viaduct Quarry,Somerset,"Hettangian, Sinemurian and Pliensbachian",The Mendip and South Wales massifs,Notified,ST621443,51.2,-2.54,362100,144300,01-Oct-79,28-Mar-83,NE,"An important locality as the best exposed and thickest section in the Downside Stone. This facies, developed here in its type area, is a localised limestone development which accumulated adjacent to the Lowest Jurassic Mendip Island. This littoral facies of coarse, often conglomeratic limestones is in marked contrast to the contemporary offshore Blue Lias facies which is developed elsewhere in southern Britain, with the exception of closely comparable marginal marine areas in south Wales.",Jurassic,"Exposures in Disused Quarries, Pits and Cuttings",VIADUCT QUARRY
66,Hobbs Quarry,Somerset,"Hettangian, Sinemurian and Pliensbachian",The Mendip and South Wales massifs,Notified,ST622446,51.2,-2.54,362200,144600,01-Oct-79,28-Mar-83,NE,"A quarry showing the basal Downside Stone overlying, with marked discordance, steeply dipping Carboniferous Limestone. Here is graphically illustrated the burial of the flanks of the Mendip Island in Lower Lias times and the effects of erosion of this island prior to the deposition of the localised, marginal-marine Downside limestone facies.",Jurassic,"Exposures in Disused Quarries, Pits and Cuttings",HOBB`S QUARRY
145,Blue Anchor - Lilstock Coast,Somerset,"Hettangian, Sinemurian and Pliensbachian",The Wessex Basin (Dorset and central Somerset),Notified,ST033436,51.18,-3.38,303300,143600,01-Dec-79,26-Aug-86,NE,"An outstanding series of sections through the Lower Lias, spanning the Hettangian and Lower Pleinsbachian stages. This sequence and the good Rhaetian succession beneath are repeatedly affected by faulting, making many sections available in comparison to the same interval on the Glamorgan and Dorset coasts. In a British context the Watchet coast is the thickest succession for this interval. This makes it of international significance, for Britain's Lias sequences are arguably the best in north-west Europe. In addition it has been proposed that this coast be accepted as the standard for the base of the Hettangian Stage, and thus by definition, the Jurassic as a whole. An internationally important stratigraphic locality.",Jurassic,Coastal and River Cliffs,BLUE ANCHOR TO LILSTOCK COAST
146,Doulting Railway Cutting,Somerset,Aalenian - Bajocian,The Middle Jurassic Stratigraphy of Wessex,Notified,ST645424,51.18,-2.51,364500,142400,01-Dec-79,27-Aug-86,NE,"Outstanding exposures in the Middle Jurassic, constituting the most extensive late Bajocian-Bathonian sequence to be seen between Sherborne and the mid-Cotswolds. This includes the only complete sections of the Doulting Stone, Anabacia Limestone, Rubbly Beds and Fullonicus Limestone in their type area. Above these lies the basal Fuller's Earth with characteristic ammonite faunas of the zigzag Zone. A key stratigraphic research locality and reference section crossing the Bajocian-Bathonian boundary.",Jurassic,Exposures in Active Quarries and Pits,DOULTING RAILWAY CUTTING
147,Godminster Lane Quarry and Railway Cutting,Somerset,Aalenian - Bajocian,The Middle Jurassic Stratigraphy of Wessex,Notified,ST681345,51.11,-2.46,368100,134500,01-Dec-79,28-Mar-83,NE,"A critical Inferior Oolite section in the Cole Syncline. The exposure here demonstrates a sequence which is, as a rule, completely absent in the area between Sherborne and the Cotswolds. The Godminster Lane section, with its complex succession and rich faunas, is unique in showing lithological features characteristic of the Cotswold succession whilst at the same time yielding abundant ammonites typical of the classic Sherborne sites. A key reference section for the laeviuscula, discites and concavum zones, of importance for studies of Middle Jurassic faunas, geography and stratigraphy.",Jurassic,"Exposures in Disused Quarries, Pits and Cuttings",GODMINSTER LANE QUARRY AND RAILWAY CUTTING
148,Milborne Wick Section,Somerset,Aalenian - Bajocian,The Middle Jurassic Stratigraphy of Wessex,Notified,ST662205,50.98,-2.48,366200,120500,01-Dec-79,28-Mar-83,NE,"A classic Inferior Oolite locality described in the historic accounts of S S Buckman. Here the Middle Inferior Oolite, of the laeviuscula, sauzei and humphriesianum zones, is highly condensed and shows evidence that Milborne Wick lay at the edge of the formation's area of deposition. Sections in the humphriesianum Zone are rare; the Milborne outcrop with its condensed succession contrasts with the reasonably extended succession seen at the famous Frogden section, nearer to Sherborne. A key locality for stratigraphic, palaeogeographic and sedimentological studies.",Jurassic,"Exposures in Disused Quarries, Pits and Cuttings","MILLER`S HILL, MILBORNE WICK"
149,Seavington St Mary Quarry,Somerset,Aalenian - Bajocian,The Middle Jurassic Stratigraphy of Wessex,Notified,ST400144,50.93,-2.85,340000,114400,01-Dec-79,28-Mar-83,NE,Extensive exposures through much of the Inferior Oolite. This is the most westerly outcrop of this formation in England. It is thus of considerable importance in interpreting the local stratigraphy and sedimentology in relation to the palaeogeography of south-west England in Middle Jurassic times. A valuable Aalenian-Bajocian locality affording a prime educational and research facility.,Jurassic,"Exposures in Disused Quarries, Pits and Cuttings",SEAVINGTON ST. MARY
