gcr_number,GCR_NAME,admin_area,BLOCK_NAME,NAME,GCR_STATUS,GRID_REF,LATITUDE,LONGITUDE,EASTING,NORTHING,GCR_DATE,REVIEW_DATE,AGENCY,GCR_STATEMENT,SYSTEM,ESCC,SSSI_NAME
87,Pinhay Bay to  Fault Corner,Devon CC,"Hettangian, Sinemurian and Pliensbachian",The Wessex Basin (Dorset and central Somerset),Notified,SY317907,50.71,-2.97,331700,90700,01-Aug-79,27-Aug-86,NE,"An outstanding internationally important locality. It shows the most complete Lower Jurassic sequence in Europe. In Britain it is the only single section which provides exposures through the entire Lias, and thus practically constitutes the British standard section. The coast has been the subject of innumerable studies documented in an enormous body of literature spanning two centuries, and dealing with all aspects of its palaeontology and stratigraphy. One of the most important British geological localities.",Jurassic,Coastal and River Cliffs,WEST DORSET COAST
203,Furley Chalk Pit,Devon CC,"Cenomanian, Turonian, Senonian, Maastrichtian","Southern Province, England",Notified,ST276043,50.83,-3.03,327600,104300,01-Jan-80,14-Nov-83,NE,"The site is stratigraphically important for its Cenomanian and early Turonian succession, very different from that known on the coast and further east. The boundary beds at the junction of the Cenomanian and Turonian, in particular, are expanded, and contain siliceous nodules, an unusual fauna and no hardgrounds. Rarely exposed at the base of the pit is a chalk basement bed yielding Cenomanian ammonites of various ages.",Cretaceous,"Exposures in Disused Quarries, Pits and Cuttings",FURLEY CHALK PIT
204,Hooken Cliff,Devon CC,"Cenomanian, Turonian, Senonian, Maastrichtian","Southern Province, England",Notified,SY209881,50.69,-3.12,320900,88100,01-Jan-80,06-Sep-84,NE,"This site contains some of the most westerly major Upper Cretaceous exposures in England, which are of great stratigraphic importance. They show the intriguing lateral thickness and facies variations of the Cenomanian Limestone, containing an abundant and, in part, rare fauna. The Neocardioceras Hardground, at the top of the Cenomanian, yields ammonites that are almost unknown elsewhere in Britain at this horizon. The site beautifully displays the basal Turonian or Beer Stone, a large echinoderm-rich calcarenite lens and also the major erosional truncation of the Lower Turonian and Cenomanian. A unique site for its sedimentology and stratigraphically important fossil horizons.",Cretaceous,Coastal and River Cliffs,SIDMOUTH TO BEER COAST
205,Wilmington Quarry,Devon CC,"Cenomanian, Turonian, Senonian, Maastrichtian","Southern Province, England",Notified,SY209997,50.79,-3.12,320900,99700,01-Jan-80,14-Nov-83,NE,"The type locality and at present the only exposure of the Cenomanian Wilmington Sands. These sands fill a depression in the underlying Upper Greensand, and are a quartz sand facies laterally equivalent to the lowest part of the Cenomanian Limestone seen on the coast. The Grizzle, which is here an overlying limestone unit, yields a rich fauna that includes crab carapaces, unknown from other localities. A key site for understanding facies changes in the Upper Cretaceous.",Cretaceous,"Exposures in Disused Quarries, Pits and Cuttings",WILMINGTON QUARRY
329,Bickleigh Wood Quarry,Devon CC,Namurian of England & Wales,Culm Trough,Notified,SS944180,50.95,-3.5,294400,118000,01-Apr-80,14-Nov-83,NE,"An old quarry providing sedimentologically interesting exposures in late Namurian sandstones. The section contains some problematical trace fossils which are currently under investigation, but is mainly of importance for its excellent display of soft-sediment deformation features and turbidite induced scours. Some fine examples of squamiform loading are present, and a field of flute marks which ranks as one of the best in the country. A key site for sedimentological studies in the Carboniferous.",Carboniferous,"Exposures in Disused Quarries, Pits and Cuttings",BICKLEIGH WOOD QUARRY
330,Bonhay Road Cutting,Devon CC,Namurian of England & Wales,Culm Trough,Notified,SX914926,50.72,-3.54,291400,92600,01-Apr-80,14-Nov-83,NE,"This roadside cutting provides the best inland exposure in the Namurian of the Culm type in south-west England. The presence of a number of marine bands make the section of prime importance, as it permits direct correlation with the more extensive coastal exposures.",Carboniferous,"Exposures in Disused Quarries, Pits and Cuttings",BONHAY ROAD CUTTING
362,Plaistow Quarry,Devon CC,Palaeozoic Palaeobotany,Devonian palaeobotany,Notified,SS568373,51.12,-4.05,256800,137300,01-Dec-80,14-Nov-83,NE,"This is the best locality for the Upper Devonian Baggy Beds flora. This flora consists mainly of lycopods and pteridosperms, the latter being the oldest known gymnosperms in Britain. No definite seeds are known, but several examples of what are probably empty cupules have been found. There are also some possible equisete stems, which, if their identification is confirmed, will also be the oldest British examples of their group. The scarcity of Upper Devonian floras in Britain makes this site of national importance, providing one of the few links between the primitive Middle Devonian floras and the more advanced Lower Carboniferous floras.",Devonian,"Exposures in Disused Quarries, Pits and Cuttings",PLAISTOW QUARRY
420,Long Quarry,Torbay,Marine Devonian,,Notified,SX937651,50.48,-3.5,293700,65100,01-Dec-80,27-Jun-86,NE,"The Long Quarry area includes the type section of the Devonian Walls Hill Limestone. The best exposure of this stromatoporoid- rich unit can be seen here in the quarry floor. The steep dip of the beds allows an easy bed by bed examination to be made. Within the formation it is possible to recognise four distinct subfacies not seen elsewhere in the Torquay Limestone. The site is unique in so well- displaying the development, growth and form of a stromatoporoid reef.",Devonian,"Exposures in Disused Quarries, Pits and Cuttings",HOPE`S NOSE TO WALL`S HILL
421,Babbacombe,Torbay,Marine Devonian,,Notified,SX929655,50.48,-3.51,292900,65500,01-Dec-80,21-Mar-86,NE,"This locality includes the type section of the Babbacombe Shales, which have yielded a rich goniatite fauna of early Frasnian age. The cliff section is inverted and displays interesting structural features, and the best accessible section through the richly fossiliferous Barton Limestone. This section is of great interest in demonstrating the marked facies change from a high-energy, reef environment of the Barton Limestone to deeper water conditions represented by the Babbacombe Shales.",Devonian,Coastal and River Cliffs,BABBACOMBE CLIFFS
422,Meadfoot Sea Road,Torbay,Marine Devonian,,Notified,SX931631,50.46,-3.51,293100,63100,01-Dec-80,19-Mar-87,NE,"This locality forms the type section of the Devonian Meadfoot Beds, of the old terminology, and displays lithological and palaeontological characters typical of the Meadfoot facies of the Meadfoot Group shallow water, outer shelf sediments. In addition to being the best locality displaying the Meadfoot facies, the east end of the site has yielded interesting sedimentary structures which have not been recorded elsewhere in the Meadfoot Group.",Devonian,Coastal and River Cliffs,MEADFOOT SEA ROAD
