gcr_number,GCR_NAME,admin_area,BLOCK_NAME,NAME,GCR_STATUS,GRID_REF,LATITUDE,LONGITUDE,EASTING,NORTHING,GCR_DATE,REVIEW_DATE,AGENCY,GCR_STATEMENT,SYSTEM,ESCC,SSSI_NAME,GCR_Link,SSSI_Link
1576,Arne,Dorset,Tertiary Palaeobotany,Early and early-middle Eocene (Ypresian-Lutetian) palaeobotany of Great Britain,Notified,SY970892,50.7,-2.04,397000,89200,1984/04/01,1985/04/30,NE,"This is one of only two sites yielding fossil plants from the Dorset Pipe Clays, of lower Eocene age. This is of considerable significance as these deposits are the probably fluviatile (river- lain) facies equivalents of the marine London Clay with its world famous flora. The flora here consists mainly of angiosperm fruits and seeds, many of which represent tropical trees and lianas. Thirty-nine species have been recorded, with ten species and one genus restricted to this site in the British Tertiary succession.",Tertiary,Coastal and River Cliffs,ARNE,https://data.jncc.gov.uk/data/d249bbc2-220e-4e39-afa6-1019ee91917e/gcr-v22-mesozoic-tertiary-palaeobotany-c8.pdf,
250,Babylon Hill,Dorset,Toarcian,The Wessex Basin (Dorset and central Somerset),Notified,ST578155,50.94,-2.6,357800,115500,1980/01/01,1985/04/25,NE,"A site of considerable importance for Lower Jurassic studies, with international implication for correlation. Babylon Hill shows an extensive section through the Upper Toarcian Yeovil Sands, yielding a sequence of stratigraphically very important ammonite faunas, from this, the type area of the Yeovilian Substage of the Toarcian.",Jurassic,"Exposures in Disused Quarries, Pits and Cuttings",BABYLON HILL,https://data.jncc.gov.uk/data/cab38052-3314-4b62-80f7-5cc15b020617/gcr-v30-british-lower-jurassic-c2.pdf,
1843,Ballard Down,Dorset,Coastal Geomorphology of England,Soft-rock cliffs,Notified,SZ041825,50.64,-1.94,404100,82500,1985/10/01,1986/08/06,NE,"Ballard Down is a key site for coastal geomorphology. It includes a series of predominantly chalk cliffs, platforms and associated beaches, best known for the classic assemblage of stacks, arches and caves at Handfast Point. The site is also important for revealing not only the relationships between local bedrock structures and coastal form, but also different wave dynamics on the north and south sides of the peninsula respectively. Ballard Down is the most sheltered of the major chalk cliff systems and so forms a key element of the suite of chalk cliff sites.",Quaternary,Active Process Geomorphological Site,STUDLAND CLIFFS,https://data.jncc.gov.uk/data/118b87ed-d7dd-4ea0-99ad-36ed62d2eab0/gcr-v28-coastal-geomorphology-c4.pdf,
2288,Ballard Point to Studland Bay,Dorset,Alpine Structures of Southern England,,Notified,SZ048813,50.63,-1.93,404800,81300,1987/02/01,1986/08/06,NE,"These coastal rock outcrops provide an outstanding cross-section through the Purbeck Monocline, part of a belt of crustal flexures running through south Dorset and the Isle of Wight, and one of the most important geological structures in southern England. The Ballard Down Fault is exposed north of Ballard Point, where it cuts through the fold and throws a nearly vertical chalk to the south against nearly horizontal chalk to the north. At Redend Point, higher, Eocene sandstones are cut by sets of small faults which reflect compression associated with the formation of the Purbeck Monocline.",Tertiary,Coastal and River Cliffs,STUDLAND CLIFFS,,
1587,Barton,Dorset,Tertiary Palaeobotany,Late middle Eocene-early Oligocene (Bartonian-Rupelian) and Miocene palaeobotany of Great Britain,Notified,SZ207931,50.74,-1.71,420700,93100,1984/04/01,1986/08/27,NE,"This is the only site to yield fossil plants from lower Barton Beds (of early late Eocene age). At least twenty-eight plant species occur and, for five of these, this is the type locality. Finds have been made mainly in one horizon but also rarely in four others. Fossil fruits, seeds and cones represent wetland plants but there are also some warm climate shrubs or small trees. The make-up of the flora here reveals the first indication of the climatic cooling which affected Britain in later Tertiary times.",Tertiary,Coastal and River Cliffs,HIGHCLIFFE TO MILFORD CLIFFS,https://data.jncc.gov.uk/data/d249bbc2-220e-4e39-afa6-1019ee91917e/gcr-v22-mesozoic-tertiary-palaeobotany-c9.pdf,
2910,Barton Cliff,Dorset,Mesozoic - Tertiary Fish/Amphibia,British Cenozoic fossil fishes sites,Notified,SZ218930,50.74,-1.69,421800,93000,1989/06/22,2000/01/02,NE,"This Bartonian facies is not represented in some other parts of Europe because there is a hiatus at the top of the Bracklesham Beds caused by a drop in sea-level at the end of the Eocene. At Barton there is a complete section with a continuation of marine rocks which contain a unique fish fauna. The nearest assemblage with similar fishes is in Georgia, North America. Like all these Eocene fish sites, the faunal assemblage consists of great numbers of species, based on disarticulated remains of fish, particularly teeth and otoliths. However, these species are, in the main, unique to this site.",Tertiary,Coastal and River Cliffs,HIGHCLIFFE TO MILFORD CLIFFS,https://data.jncc.gov.uk/data/f722dcd3-4cf1-46d8-9624-56abff537c8d/gcr-v16-fossil-fishes-of-great-britain-c14.pdf,
518,Barton Cliffs,Dorset,Palaeogene,Hampshire basin: mainland localities,Notified,SZ200930,50.74,-1.72,420000,93000,1981/03/01,1986/08/27,NE,"The coastal section from Friar's Cliff to Milford-on-Sea is the type locality for the Barton Beds and is also the best exposure of the Lower Headon Beds. The Barton Beds yield the most diverse and best preserved fauna of the British Tertiary while the Lower Headon Beds, which were deposited during a phase of coastal pro-gradation in late Eocene time, demonstrate very clearly the relationship between the changing salinity of the coastal environments and the fauna inhabiting them. One of Britain's most important stratigraphic and palaeontological sites.",Tertiary,Coastal and River Cliffs,HIGHCLIFFE TO MILFORD CLIFFS,,
525,Bincombe Down,Dorset,Palaeogene,Western Outliers of Dorset and Devon,Notified,SY678855,50.67,-2.46,367800,85500,1981/04/01,1985/04/25,NE,"This site exposes Eocene sediments containing large, poorly-abraided pebbles and cobbles of Chalk flint and Upper Greensand chert, together with fewer Jurassic and Palaeozoic clasts. The principal importance of the site is the evidence it provides for intra-Eocene, syn-sedimentary movement on the Ridgeway Fault. A key site for both its Tertiary deposits and its bearing on the tectonic history of southern England.",Tertiary,"Exposures in Disused Quarries, Pits and Cuttings",UPWEY QUARRIES AND BINCOMBE DOWN,,
1300,Black Head,Dorset,Kimmeridgian,Upper Jurassic Stratigraphy from Dorset to Oxford,Notified,SY723820,50.64,-2.39,372300,82000,1982/11/01,1985/08/07,NE,"This locality affords the most complete Lower Kimmeridge Clay section in the Dorset type area. The lower part of the formation is considerably thinned at Black Head in comparison to Kimmeridge, being only about half the two hundred and thirty metre section at the latter. The locality is of importance for its baylei, cymodoce and mutabilis zone sections and faunas; although potentially a complete section up to the pectinatus Zone exists. A key locality for correlation within the Kimmeridgian type area.",Jurassic,Coastal and River Cliffs,SOUTH DORSET COAST,,
1321,Black Ven,Dorset,Mass movement,,Notified,SY347927,50.73,-2.93,334700,92700,1983/01/01,1986/08/27,NE,"This is a complex and active multiple landslip, Cretaceous Chert Beds, Upper Greensand and Gault (here a sandy silt) have slipped seaward over impermeable Lower Lias clays, on which the Gault lies unconformably. There is a slight south-eastward dip, with a seaward component. There is much local faulting and flexure, and a partly eroded syncline within the cliff serves to localise the discharge of groundwater. The site is important for its demonstration of movement in arenaceous flows of cohesionless remoulded material due to copious water supply from the Cretaceous strata. The addition of more water supplies as flows progress downslope ensures that they reach the beach at the foot of the cliff. This deprives the upper part of the cliff of its toe, creating conditions for further failure. A classic much studied landslip.",Quaternary,Active Process Geomorphological Site,WEST DORSET COAST,,
