"ID","Name","LGG No","Grid Ref","X","Y","Lat","Lon","Local Authority","Parish","Public Access","Access","Period","Rock Group","Geological Highlights","Condition"
1,"Gortnell Common Landslip","ST11/571","ST168178",316800,117800,50.953603,-3.185873,"Taunton Deane B C","West Buckland","FALSE","Conditional","Quaternary","Greensand","LANDSLIP","Good"
2,"Lipe Hill Holloway","ST12/545","ST18652136",318650,121360,50.985873,-3.1603382,"Taunton Deane B C","Pitminster","TRUE",,"Permian/Triassic","North Curry Sandstone","N CURRY SANDSTONE","Good declining"
3,"Staple Hill Backscar","ST21/522","ST22781640",322780,116400,50.941849,-3.1004571,"Taunton Deane B C","Otterford","TRUE","Uncertain","Tertiary","Bagshot?","BACKSCAR WITH LARGE TERTIARY COBBLES","Poor declining"
4,"Staple Fitzpaine Sarsens","ST21/523","ST26451845",326450,118450,50.960761,-3.0486458,"Taunton Deane B C","Staple Fitzpaine","TRUE","Full","Tertiary","Bagshot? Plateau deposits","SARSENS","Good"
5,"Overton Sandpit","ST22/527","ST26752925",326750,129250,51.057899,-3.0465585,"Taunton Deane B C","West Monkton","TRUE","Uncertain","Permian/Triassic","Otter Sandstone","SEDIMENTS",
6,"Moredon House Cutting","ST32/509","ST32502601",332500,126010,51.029475,-2.9639215,"Taunton Deane B C","North Curry","TRUE","Full","Permian/Triassic","North Curry Sandstone","SEDIMENTS","Good declining"
7,"Hatch Beauchamp Cutting","ST32/510","ST24282923",324280,129230,51.057398,-3.0817914,"Taunton Deane B C","Hatch Beauchamp","TRUE","Conditional","Jurassic","Blue Lias","SEDIMENTS TECTONICS","Good declining"
8,"Otterford Quarry","ST21/524","ST224140",322400,114000,50.920221,-3.1053529,"Taunton Deane B C","Otterford","TRUE","Full","Cretaceous","Head/Greensand","SEDIMENTS","Good declining"
9,"Hestercombe Dykes","ST22/504","ST24282923",324280,129230,51.057398,-3.0817914,"Taunton Deane B C","Kingston St.Mary","TRUE",,"Carboniferous","Hestercombe diorite","IGNEOUS","Good declining"
10,"Coombe Quarries","ST22/512-513","ST27002920",327000,129200,51.057481,-3.0429819,"Taunton Deane B C","West Monkton","FALSE","Uncertain","Devonian","Morte Slate","SEDIMENTS TECTONICS","Good steady"
11,"Denbury Quarry","ST12/500","ST14652948",314650,129480,51.058293,-3.2192252,"Taunton Deane B C","Ash Priors","TRUE",,"Permian/Triassic","Bunter Sandstone pebble beds","SEDIMENTS","Good declining"
12,"Ford Quarry","ST02/503","ST098291",309800,129100,51.054135,-3.2883162,"Taunton Deane B C","Upton","FALSE","Uncertain","Permian/Triassic","Bunter Sandstone pebble beds","SEDIMENTS","Good declining"
13,"Ridge Hill Quarry","ST02/515","ST090285",309000,128500,51.048615,-3.2995762,"Taunton Deane B C","Wiveliscombe","TRUE","Uncertain","Permian/Triassic","Vexford Breccias","SEDIMENTS","Poor declining"
14,"Hyden Quarry","ST02/516","ST094278",309400,127800,51.042385,-3.293696,"Taunton Deane B C","Wiveliscombe","TRUE",,"Permian/Triassic","Vexford Breccias","SEDIMENTS",
15,"Langley Hollow","ST02/519A","ST081291",308100,129100,51.053865,-3.3125645,"Taunton Deane B C","Wiveliscombe","TRUE",,"Permian/Triassic","Wiveliscombe Sandstone","SEDIMENTS","Good steady"
16,"Billy Lane exposure","ST02/520","ST088288",308800,128800,51.05128,-3.3025043,"Taunton Deane B C","Wiveliscombe","TRUE",,"Permian/Triassic","Wiveliscombe Sandstone","SEDIMENTS","Good steady"
17,"Oakhamoton Quarry","ST03/542","ST085301",308500,130100,51.062919,-3.3071122,"Taunton Deane B C","Wiveliscombe","TRUE","Conditional","Devonian","Morte Slate",,"Good steady"
18,"Buckland Wood","ST11/510","ST180174",318000,117400,50.950179,-3.1687025,"Taunton Deane B C","West Buckland","TRUE","Full","Cretaceous","Greensand","HEAD GREENSAND","Good declining"
19,"Bindon Farm Quarry","ST12/518","ST107240",310700,124000,51.008427,-3.2742205,"Taunton Deane B C","Langton Budville","FALSE","Conditional","Permian/Triassic","Bunter Sandstone pebble beds","SEDIMENTS",
20,"Holywell Bridge Quarry","ST12/529","ST137273",313700,127300,51.038553,-3.232257,"Taunton Deane B C","Ash Priors","TRUE","Uncertain","Permian/Triassic","Bunter Sst pebble beds & Otter Sst","SEDIMENTS",
21,"Pooles Kiln Quarry","ST12/536","ST104258",310400,125800,51.024562,-3.2789407,"Taunton Deane B C","Milverton","TRUE","Uncertain","Permian/Triassic","Bunter Sandstone pebble beds","SEDIMENTS",
22,"Knights Farm Qarry","ST13/570","ST129327",312900,132700,51.086978,-3.2449663,"Taunton Deane B C","Lyd. St.Lawrence","FALSE","Uncertain","Permian/Triassic","Vexford Breccias","SEDIMENTS",
23,"Brick Barn Quarry","ST13/580","ST196302",319600,130200,51.065482,-3.1487702,"Taunton Deane B C","Cottelstone","FALSE","Uncertain","Permian/Triassic","Otter Sandstone","SEDIMENTS",
